BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
MATAGORDA,TX,2009,74300,36921,2.01,1,18555,18366,83.29,12.24,0.89,38.58,2523,21.2,38938,26.1,32.05,28.25,13.6,28.6,35.11,64.06,9.224,0.07
MIAMI,IN,2011,74300,36645,2.03,1,19634,17011,92.39,4.56,0.89,2.48,949,14.7,43287,16.4,43.7,28.45,11.5,33.4,34.63,62.69,10.45,0.03
SANILAC,MI,2010,74300,43114,1.72,1,21315,21799,97.82,0.37,0.51,3.34,738,17.2,39646,16.25,43.15,28.65,11.95,36,42.06,56.31,15.38,0.02
PIKE,AR,2009,74240,10629,6.98,3,5262,5367,92.44,4.43,1.17,5.4,278,18.8,33328,23.95,37.75,25.8,12.5,30.5,26.21,70.36,7.66,0.03
LINCOLN,ME,2008,74200,34730,2.14,1,16928,17802,97.75,0.45,0.35,0.91,1185.75,10.9,49862,9.55,33.85,26.8,29.85,22.6,55.07,43.03,5.22,0.03
SULLIVAN,IN,2007,74200,21358,3.47,3,11531,9827,93.36,4.96,0.41,1.17,340,13.7,40957,16.35,44,28.7,10.95,27.9,46.53,51.98,5.52,0.02
TAOS,NM,2009,74200,31715,2.34,2,15514,16201,90.11,1.01,6.57,56.84,1737,19.7,31660,16.7,26.6,29.9,26.8,18.7,80.89,17.18,8.87,0.05
VERNON,MO,2011,74200,21080,3.52,3,10232,10848,96.6,0.6,0.75,1.69,1037,20.5,37342,17.25,40.9,26.1,15.75,28.1,32.23,65.7,7.22,0.05
LAMAR,MS,2008,74170,49858,1.49,1,24230,25628,79.69,18,0.27,2.04,1193.5,14.5,48826,13.2,25.3,30.15,31.35,31.7,21.67,77.7,4.65,0.02
ACCOMACK,VA,2012,74160,33264,2.23,1,16272,16992,68.47,28.73,0.62,8.77,821,19.9,36957,24.95,36.55,21.95,16.55,36.6,47.69,51.17,7.88,0.02
