BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
FRANKLIN,AL,2012,309400.0,31689.0,9.76,3,15784.0,15905.0,92.28,4.38,1.45,15.42,339.0,19.5,33173.0,30.75,34.0,23.7,11.55,34.2,29.2,69.68,8.38,0.01
BERKELEY,WV,2009,303800.0,103728.0,2.93,2,51713.0,52015.0,89.96,7.27,0.33,3.18,5975.0,10.6,51243.0,17.1,39.2,25.75,17.9,31.5,41.77,56.82,8.49,0.06
MARION,AL,2011,301640.0,30651.0,9.84,3,15240.0,15411.0,94.43,3.91,0.37,2.24,0.0,25.6,30926.0,28.05,34.1,27.1,10.7,34.1,19.2,79.38,11.2,0.0
BEAUFORT,SC,2010,301320.0,162233.0,1.86,1,80089.0,82144.0,76.86,19.69,0.44,12.06,4193.0,13.0,55266.0,9.75,23.25,30.5,36.5,21.6,42.43,56.58,8.66,0.03
BEAUFORT,SC,2009,291330.0,153274.0,1.9,1,76399.0,76875.0,75.98,20.87,0.42,9.5,5217.0,12.0,54085.0,9.75,23.25,30.5,36.5,21.0,43.28,55.75,8.72,0.03
BEAUFORT,SC,2008,284700.0,150679.0,1.89,1,75089.0,75590.0,75.89,21.06,0.4,9.31,4555.75,10.1,55897.0,9.75,23.25,30.5,36.5,20.1,44.14,54.92,5.29,0.03
BEAUFORT,SC,2012,282680.0,167409.0,1.69,1,82596.0,84813.0,77.05,19.35,0.45,11.58,4719.0,13.1,54139.0,9.75,23.25,30.5,36.5,22.5,40.72,58.24,7.53,0.03
COFFEE,TN,2007,280840.0,51826.0,5.42,3,25198.0,26628.0,93.29,4.27,0.36,3.47,2538.5,14.2,40738.0,19.85,35.4,26.5,18.2,31.0,35.95,62.41,4.55,0.05
FRANKLIN,TN,2012,277780.0,40673.0,6.83,3,19802.0,20871.0,92.01,5.06,0.41,2.68,2824.0,18.2,42066.0,20.3,37.0,24.75,17.95,30.6,34.76,63.66,7.78,0.07
COFFEE,TN,2008,276800.0,52246.0,5.3,3,25442.0,26804.0,93.12,4.38,0.36,3.7,2538.5,17.1,41072.0,19.85,35.4,26.5,18.2,33.8,34.3,63.73,6.31,0.05
WASHINGTON,MN,2006,275901.0,221764.0,1.24,1,110453.0,111311.0,90.99,2.87,0.53,2.89,5667.5,4.5,76563.0,4.95,23.85,33.1,38.1,25.7,49.53,49.06,3.53,0.03
BERKELEY,WV,2008,262100.0,102420.0,2.56,2,50997.0,51423.0,90.25,7.03,0.31,3.08,5430.5,11.2,52472.0,17.1,39.2,25.75,17.9,31.9,42.89,55.89,4.74,0.05
FRANKLIN,AL,2011,261080.0,31771.0,8.22,3,15845.0,15926.0,92.75,4.1,1.44,15.23,0.0,19.9,33705.0,30.75,34.0,23.7,11.55,33.5,29.32,69.47,9.56,0.0
WARREN,TN,2012,260650.0,39745.0,6.56,3,19547.0,20198.0,94.21,3.39,0.41,8.32,2668.0,22.5,33576.0,26.75,40.95,20.6,11.75,31.7,36.51,61.54,8.75,0.07
BEAUFORT,SC,2007,258560.0,146443.0,1.77,1,73102.0,73341.0,75.72,21.36,0.36,8.91,4555.75,10.4,54209.0,9.75,23.25,30.5,36.5,20.1,42.84,56.28,4.36,0.03
WARREN,TN,2011,251330.0,39903.0,6.3,3,19705.0,20198.0,94.4,3.32,0.39,8.2,2531.0,22.6,32823.0,26.75,40.95,20.6,11.75,32.2,36.96,61.02,10.2,0.06
DORCHESTER,SC,2006,249440.0,118119.0,2.11,1,57898.0,60221.0,70.98,25.64,0.64,3.14,3705.0,10.0,50485.0,13.9,28.8,32.9,24.4,31.0,38.63,60.02,5.06,0.03
JEFFERSON,TN,2012,247900.0,52240.0,4.75,3,25690.0,26550.0,95.73,2.13,0.45,3.33,3100.0,18.4,39970.0,22.8,37.0,25.7,14.5,28.4,24.1,74.25,9.35,0.06
CULLMAN,AL,2007,247280.0,80591.0,3.07,2,39878.0,40713.0,95.96,2.16,0.48,3.53,2445.5,14.2,39194.0,23.75,33.95,28.9,13.4,29.4,18.17,80.44,3.38,0.03
BERKELEY,SC,2006,244450.0,158250.0,1.54,1,79961.0,78289.0,68.96,26.83,0.53,4.13,4835.25,10.7,48162.0,15.75,32.15,33.25,18.85,32.2,40.45,58.27,5.55,0.03
WARREN,TN,2008,243360.0,40189.0,6.06,3,19775.0,20414.0,94.27,3.7,0.33,8.19,2517.0,19.6,35107.0,26.75,40.95,20.6,11.75,32.9,38.3,59.46,8.48,0.06
JEFFERSON,TN,2011,242800.0,51903.0,4.68,3,25486.0,26417.0,95.78,2.08,0.44,3.33,3121.0,19.5,38174.0,22.8,37.0,25.7,14.5,27.9,25.06,73.35,10.48,0.06
MARION,AL,2007,240510.0,29481.0,8.16,3,14668.0,14813.0,93.31,5.1,0.45,1.93,397.25,19.7,32752.0,28.05,34.1,27.1,10.7,29.3,23.17,75.33,5.22,0.01
FRANKLIN,TN,2011,239110.0,40819.0,5.86,3,19888.0,20931.0,91.98,5.14,0.38,2.61,2583.0,18.3,39935.0,20.3,37.0,24.75,17.95,30.4,35.55,62.86,9.35,0.06
JEFFERSON,TN,2010,236680.0,51407.0,4.6,3,25245.0,26162.0,95.85,2.12,0.44,3.15,2492.0,16.7,37279.0,22.8,37.0,25.7,14.5,28.4,26.02,72.45,11.47,0.05
JEFFERSON,TN,2009,232840.0,51831.0,4.49,3,25393.0,26438.0,94.8,3.17,0.42,2.76,2780.0,20.2,37411.0,22.8,37.0,25.7,14.5,32.1,26.98,71.55,12.63,0.05
BEAUFORT,SC,2006,228670.0,142926.0,1.6,1,71355.0,71571.0,75.31,21.89,0.35,8.54,4555.75,11.9,51209.0,9.75,23.25,30.5,36.5,20.4,41.53,57.63,4.78,0.03
WARREN,TN,2010,228110.0,39839.0,5.73,3,19653.0,20186.0,94.57,3.22,0.39,8.09,2636.0,26.4,33265.0,26.75,40.95,20.6,11.75,34.1,37.41,60.5,10.91,0.07
MARION,AL,2010,224570.0,30776.0,7.3,3,15293.0,15483.0,94.58,3.88,0.33,2.05,715.0,20.9,32080.0,28.05,34.1,27.1,10.7,33.0,19.81,78.65,13.56,0.02
GRUNDY,TN,2011,223350.0,13587.0,16.44,4,6709.0,6878.0,97.92,0.34,0.49,0.88,435.0,31.2,27428.0,35.8,38.2,16.95,9.05,27.9,39.72,58.37,12.41,0.03
MARION,WV,2011,223130.0,56670.0,3.94,3,27715.0,28955.0,94.34,3.44,0.23,1.0,1268.0,16.3,39774.0,15.7,40.05,25.25,19.0,32.6,43.5,54.15,6.88,0.02
MARION,AL,2009,221870.0,28955.0,7.66,3,14393.0,14562.0,92.9,5.46,0.45,2.04,467.0,21.2,32317.0,28.05,34.1,27.1,10.7,32.7,20.42,77.91,16.59,0.02
JEFFERSON,TN,2008,217830.0,51482.0,4.23,3,25216.0,26266.0,94.95,3.07,0.42,2.65,2873.25,16.5,36815.0,22.8,37.0,25.7,14.5,30.4,27.94,70.65,7.1,0.06
MARION,WV,2009,216600.0,57134.0,3.79,3,27659.0,29475.0,94.84,3.5,0.23,1.16,1658.0,17.1,36584.0,15.7,40.05,25.25,19.0,34.7,47.3,50.53,5.91,0.03
FRANKLIN,AL,2010,213790.0,31704.0,6.74,3,15828.0,15876.0,92.74,4.05,1.49,14.86,969.0,21.6,33649.0,30.75,34.0,23.7,11.55,34.3,29.44,69.25,10.77,0.03
MARION,AL,2008,208690.0,29378.0,7.1,3,14585.0,14793.0,93.04,5.32,0.45,2.07,397.25,19.6,31602.0,28.05,34.1,27.1,10.7,28.6,21.04,77.18,8.0,0.01
CULLMAN,AL,2006,206410.0,79867.0,2.58,2,39531.0,40336.0,96.23,1.93,0.48,3.33,2445.5,15.7,35774.0,23.75,33.95,28.9,13.4,27.4,19.73,79.03,3.42,0.03
WINSTON,AL,2012,206150.0,24190.0,8.52,3,11928.0,12262.0,96.86,0.62,0.79,2.82,163.0,26.4,32663.0,30.1,35.25,24.1,10.6,28.7,13.24,85.57,10.0,0.01
FRANKLIN,AL,2009,205830.0,31217.0,6.59,3,15585.0,15632.0,92.5,5.4,0.45,13.39,1173.0,21.8,32588.0,30.75,34.0,23.7,11.55,31.2,29.55,69.04,13.43,0.04
MINGO,WV,2010,198670.0,26839.0,7.4,3,13160.0,13679.0,97.1,1.78,0.07,0.44,571.0,23.7,31915.0,33.0,39.15,19.55,8.25,34.9,35.23,62.56,9.84,0.02
MARION,WV,2012,198650.0,56745.0,3.5,3,27735.0,29010.0,94.34,3.44,0.23,1.01,1764.0,17.2,40638.0,15.7,40.05,25.25,19.0,34.4,41.59,55.96,6.44,0.03
FRANKLIN,AL,2008,196150.0,31121.0,6.3,3,15477.0,15644.0,92.68,5.24,0.45,12.69,620.25,19.5,35248.0,30.75,34.0,23.7,11.55,29.5,29.67,68.83,7.43,0.02
MARION,WV,2010,196050.0,56418.0,3.47,3,27546.0,28872.0,94.57,3.33,0.2,0.91,1235.0,16.8,38856.0,15.7,40.05,25.25,19.0,33.8,45.4,52.34,7.28,0.02
