BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate,label,color,FEMALE_PER,HSorLess,CollegeorMore
GRANT,AR,2009,33400.0,17791.0,1.88,1,0.5,8835.0,92.46,5.27,0.64,2.38,395.0,12.1,48610.0,16.35,42.4,26.25,15.0,35.8,22.91,74.09,7.12,0.02,1,Blue,0.5,58.75,41.25
IRON,MO,2008,33400.0,9961.0,3.35,3,0.48,5145.0,95.49,2.39,0.51,1.38,171.25,21.6,29219.0,27.05,38.6,24.35,10.05,31.8,50.14,47.35,5.68,0.02,0,Red,0.52,65.65,34.400000000000006
PUSHMATAHA,OK,2010,33400.0,11572.0,2.89,2,0.49,5851.0,75.69,0.71,17.76,2.42,364.0,23.9,30070.0,24.05,37.0,25.2,13.8,31.4,26.77,73.23,9.8,0.03,0,Red,0.51,61.05,39.0
SHERMAN,KS,2007,33400.0,5875.0,5.69,3,0.51,2868.0,96.54,1.19,0.7,9.12,190.25,15.0,35894.0,9.3,35.65,38.45,16.6,28.1,24.8,73.24,2.88,0.03,0,Red,0.49,44.95,55.050000000000004
WASHINGTON,IA,2010,33400.0,21704.0,1.54,1,0.49,11078.0,97.64,0.71,0.26,5.24,601.0,10.0,47118.0,13.05,38.9,29.3,18.75,30.4,47.56,49.97,5.09,0.03,3,Green,0.51,51.95,48.05
CHESTER,TN,2007,33380.0,16337.0,2.04,1,0.48,8418.0,88.17,9.93,0.38,1.61,524.5,19.1,37002.0,23.7,37.15,25.25,13.85,30.9,29.53,69.49,5.26,0.03,0,Red,0.52,60.849999999999994,39.1
CHAMBERS,TX,2009,33350.0,31546.0,1.06,1,0.51,15601.0,85.74,10.81,0.81,22.21,1809.0,8.7,68478.0,18.65,31.3,33.8,16.3,28.8,22.72,76.35,7.388,0.06,2,Yellow,0.49,49.95,50.099999999999994
BARTON,MO,2008,33330.0,12494.0,2.67,2,0.5,6272.0,95.81,0.98,1.12,1.72,412.75,17.4,36158.0,17.7,42.25,26.1,14.0,29.4,24.46,74.21,9.31,0.03,0,Red,0.5,59.95,40.1
HARDIN,IL,2011,33330.0,4293.0,7.76,3,0.5,2147.0,97.53,0.33,0.58,1.58,0.0,20.4,35596.0,25.15,31.8,32.7,10.35,33.5,33.78,64.16,10.75,0.0,0,Red,0.5,56.95,43.050000000000004
COFFEY,KS,2007,33300.0,8450.0,3.94,3,0.49,4282.0,96.07,0.7,0.7,2.33,254.0,9.0,46571.0,10.25,38.6,30.65,20.5,29.2,26.07,72.6,4.5,0.03,3,Green,0.51,48.85,51.15
GARRARD,KY,2012,33300.0,17012.0,1.96,1,0.49,8596.0,96.41,2.17,0.18,2.34,447.0,18.5,42620.0,25.15,36.95,24.75,13.1,34.5,23.47,75.03,8.46,0.03,3,Green,0.51,62.1,37.85
