BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate,label,color,FEMALE_PER,HSorLess,CollegeorMore
LOS ANGELES,CA,2012,15963551.0,9938436.0,1.61,1,0.49,5043422.0,71.64,9.28,1.47,48.12,326586.0,19.1,52929.0,25.95,19.75,26.2,28.05,21.0,69.69,27.83,10.73,0.03,1,Blue,0.51,45.7,54.25
LOS ANGELES,CA,2011,15691254.0,9876727.0,1.59,1,0.49,5011772.0,71.76,9.31,1.47,47.99,340483.0,18.4,52239.0,25.95,19.75,26.2,28.05,21.3,69.56,28.08,12.17,0.03,1,Blue,0.51,45.7,54.25
LOS ANGELES,CA,2009,14418442.5,9831945.0,1.47,1,0.5,4947525.0,73.86,9.28,1.05,47.6,376777.0,16.0,54375.0,25.95,19.75,26.2,28.05,21.5,69.31,28.57,11.6,0.04,1,Blue,0.5,45.7,54.25
LOS ANGELES,CA,2010,14145124.0,9818605.0,1.44,1,0.49,4978951.0,71.87,9.38,1.49,47.74,363182.0,17.6,52595.0,25.95,19.75,26.2,28.05,21.3,69.44,28.32,12.5,0.04,1,Blue,0.51,45.7,54.25
LOS ANGELES,CA,2008,13732484.5,9771522.0,1.41,1,0.5,4920533.0,73.86,9.36,1.04,47.24,351757.0,15.3,55452.0,25.95,19.75,26.2,28.05,20.9,69.19,28.82,7.58,0.04,1,Blue,0.5,45.7,54.25
LOS ANGELES,CA,2007,13561927.5,9727968.0,1.39,1,0.5,4901832.0,73.87,9.49,1.04,46.89,351757.0,14.6,53494.0,25.95,19.75,26.2,28.05,20.4,67.68,30.52,5.12,0.04,1,Blue,0.5,45.7,54.25
CHARLESTON,SC,2012,12648967.0,364628.0,34.69,4,0.48,188020.0,67.07,29.46,0.45,5.1,21576.0,18.0,48200.0,13.75,22.75,27.15,36.3,25.0,50.39,48.01,7.13,0.06,3,Green,0.52,36.5,63.449999999999996
MARICOPA,AZ,2011,12408569.0,3875065.0,3.2,2,0.49,1959519.0,85.26,5.47,2.63,29.71,161100.0,17.4,50785.0,15.2,22.95,33.2,28.65,22.6,43.84,54.53,8.56,0.04,1,Blue,0.51,38.15,61.85
HARRIS,TX,2007,11912542.0,3909859.0,3.05,2,0.5,1956517.0,73.99,18.5,0.58,37.99,188110.75,16.3,49977.0,22.45,22.45,26.4,28.7,26.0,48.98,50.3,4.08,0.05,1,Blue,0.5,44.9,55.099999999999994
MARICOPA,AZ,2012,11910768.0,3948225.0,3.02,2,0.49,1995803.0,84.93,5.58,2.66,29.9,159723.0,17.4,51442.0,15.2,22.95,33.2,28.65,22.2,43.75,54.48,7.29,0.04,1,Blue,0.51,38.15,61.85
LOS ANGELES,CA,2006,11391232.0,9755937.0,1.17,1,0.5,4919483.0,73.93,9.6,1.04,46.72,351757.0,15.4,51279.0,25.95,19.75,26.2,28.05,19.6,66.16,32.22,4.78,0.04,1,Blue,0.5,45.7,54.25
MARICOPA,AZ,2010,10769670.0,3817117.0,2.82,2,0.49,1928652.0,85.62,5.39,2.61,29.57,168043.0,16.6,50424.0,15.2,22.95,33.2,28.65,22.8,43.94,54.58,9.52,0.04,1,Blue,0.51,38.15,61.85
CHARLESTON,SC,2011,10265604.0,357315.0,28.73,4,0.48,184390.0,66.86,29.75,0.46,5.18,21812.0,19.1,49432.0,13.75,22.75,27.15,36.3,26.2,51.18,47.31,8.32,0.06,1,Blue,0.52,36.5,63.449999999999996
MARICOPA,AZ,2009,10088297.0,4019885.0,2.51,2,0.5,1996661.0,87.57,4.76,2.53,31.28,184166.0,15.1,53284.0,15.2,22.95,33.2,28.65,23.7,44.03,54.64,9.11,0.05,1,Blue,0.5,38.15,61.85
HARRIS,TX,2010,9699100.0,4092459.0,2.37,2,0.5,2055054.0,71.31,19.5,1.14,40.84,200372.0,18.7,50437.0,22.45,22.45,26.4,28.7,28.5,49.92,49.06,8.29,0.05,1,Blue,0.5,44.9,55.099999999999994
HARRIS,TX,2009,9682332.0,4074423.0,2.38,2,0.5,2033472.0,74.03,18.22,0.6,39.3,207539.0,17.1,50577.0,22.45,22.45,26.4,28.7,28.8,50.19,48.94,6.434,0.05,1,Blue,0.5,44.9,55.099999999999994
HARRIS,TX,2011,9624050.0,4179796.0,2.3,2,0.5,2101497.0,71.16,19.49,1.12,41.24,177530.0,19.4,50924.0,22.45,22.45,26.4,28.7,28.2,49.66,49.19,7.86,0.04,1,Blue,0.5,44.9,55.099999999999994
MARICOPA,AZ,2008,9254909.0,3960221.0,2.34,2,0.5,1967029.0,87.82,4.65,2.5,30.87,168258.0,13.4,56511.0,15.2,22.95,33.2,28.65,23.1,44.12,54.69,5.37,0.04,1,Blue,0.5,38.15,61.85
HARRIS,TX,2006,9085770.0,3856396.0,2.36,2,0.5,1932057.0,73.78,18.87,0.57,37.13,188110.75,16.4,47159.0,22.45,22.45,26.4,28.7,24.1,47.51,51.78,5.18,0.05,3,Green,0.5,44.9,55.099999999999994
HARRIS,TX,2008,9070716.0,3981948.0,2.28,2,0.5,1989735.0,74.03,18.33,0.59,38.69,188110.75,15.3,52391.0,22.45,22.45,26.4,28.7,26.7,50.45,48.82,6.434,0.05,1,Blue,0.5,44.9,55.099999999999994
CHARLESTON,SC,2009,8944955.0,353949.0,25.27,4,0.48,182745.0,65.57,31.33,0.34,4.0,23585.0,16.4,46145.0,13.75,22.75,27.15,36.3,27.5,52.76,45.91,8.75,0.07,3,Green,0.52,36.5,63.449999999999996
CHARLESTON,SC,2010,8347390.0,350209.0,23.84,4,0.49,180338.0,66.64,30.02,0.46,5.39,23566.0,18.7,46187.0,13.75,22.75,27.15,36.3,27.7,51.97,46.61,8.79,0.07,3,Green,0.51,36.5,63.449999999999996
CLARK,NV,2011,8226290.0,1962010.0,4.19,3,0.5,976519.0,73.66,11.18,1.15,29.51,117394.0,16.8,48343.0,17.6,29.35,32.75,20.3,24.9,56.93,41.23,13.23,0.06,1,Blue,0.5,46.95,53.05
MARICOPA,AZ,2007,8212032.0,3873280.0,2.12,1,0.5,1924944.0,88.12,4.53,2.45,30.29,168258.0,12.9,54733.0,15.2,22.95,33.2,28.65,22.5,43.67,55.26,3.26,0.04,1,Blue,0.5,38.15,61.85
HARRIS,TX,2012,8205069.0,4264193.0,1.92,1,0.5,2143733.0,70.94,19.52,1.11,41.45,167002.0,18.6,51298.0,22.45,22.45,26.4,28.7,27.4,49.39,49.31,6.76,0.04,1,Blue,0.5,44.9,55.099999999999994
CLARK,NV,2010,8200978.0,1951269.0,4.2,3,0.5,969076.0,74.1,11.06,1.16,29.14,125166.0,15.0,51427.0,17.6,29.35,32.75,20.3,25.1,57.45,40.65,13.75,0.06,1,Blue,0.5,46.95,53.05
CLARK,NV,2012,8190034.0,1989693.0,4.12,3,0.5,990776.0,73.21,11.4,1.16,29.74,108440.0,16.4,49583.0,17.6,29.35,32.75,20.3,25.8,56.42,41.82,11.24,0.05,1,Blue,0.5,46.95,53.05
CLARK,NV,2009,7995970.0,1900064.0,4.21,3,0.51,931318.0,77.43,10.07,1.13,29.17,133769.0,12.4,53512.0,17.6,29.35,32.75,20.3,26.2,57.96,40.06,11.51,0.07,1,Blue,0.49,46.95,53.05
CLARK,NV,2008,7501254.0,1877110.0,4.0,3,0.51,920017.0,77.67,10.01,1.12,28.62,121192.25,11.1,56691.0,17.6,29.35,32.75,20.3,26.0,58.47,39.48,6.64,0.06,1,Blue,0.49,46.95,53.05
ALAMEDA,CA,2009,7266865.0,1489583.0,4.88,3,0.49,753055.0,56.78,12.6,0.83,21.98,55954.0,10.8,68258.0,15.05,18.45,26.65,39.8,20.3,78.78,18.98,10.26,0.04,2,Yellow,0.51,33.5,66.44999999999999
SAN DIEGO,CA,2012,7156400.0,3175201.0,2.25,1,0.5,1580487.0,76.81,5.57,1.32,32.6,96935.0,15.1,60235.0,15.35,19.25,31.95,33.45,20.2,52.58,45.02,9.03,0.03,1,Blue,0.5,34.6,65.4
ALAMEDA,CA,2007,7055820.0,1447863.0,4.87,3,0.49,732784.0,57.06,13.04,0.81,21.29,49617.75,11.0,68263.0,15.05,18.45,26.65,39.8,19.3,77.91,20.27,4.7,0.03,2,Yellow,0.51,33.5,66.44999999999999
SAN DIEGO,CA,2011,7052109.0,3137372.0,2.25,1,0.5,1563836.0,76.99,5.56,1.32,32.38,103474.0,15.2,59290.0,15.35,19.25,31.95,33.45,22.6,52.97,44.75,10.29,0.03,1,Blue,0.5,34.6,65.4
MARICOPA,AZ,2006,6999206.0,3776593.0,1.85,1,0.5,1878125.0,88.44,4.42,2.39,29.48,168258.0,12.5,52522.0,15.2,22.95,33.2,28.65,21.1,43.22,55.83,3.58,0.04,1,Blue,0.5,38.15,61.85
BROWARD,FL,2010,6787538.0,1748066.0,3.88,3,0.48,901495.0,66.9,27.39,0.35,25.07,0.0,14.7,47917.0,14.7,27.8,29.5,28.0,24.1,67.16,32.33,9.298865844544112,0.0,3,Green,0.52,42.5,57.5
CLARK,NV,2007,6763066.0,1836751.0,3.68,3,0.51,901279.0,78.04,9.93,1.11,28.0,121192.25,10.7,55960.0,17.6,29.35,32.75,20.3,24.8,56.77,41.31,4.49,0.07,1,Blue,0.49,46.95,53.05
WAYNE,MI,2012,6566830.0,1795973.0,3.66,3,0.48,932879.0,54.51,40.01,0.46,5.47,54607.0,26.3,39461.0,18.7,30.4,30.85,20.0,33.5,73.04,26.21,11.69,0.03,3,Green,0.52,49.099999999999994,50.85
COOK,IL,2012,6512200.0,5240505.0,1.24,1,0.48,2702596.0,65.79,24.83,0.75,24.41,116783.0,18.0,52160.0,18.05,23.85,25.5,32.6,24.9,74.0,24.63,9.66,0.02,1,Blue,0.52,41.900000000000006,58.1
BROWARD,FL,2009,6270900.0,1765530.0,3.55,3,0.49,897775.0,68.81,25.76,0.4,24.05,0.0,13.0,48772.0,14.7,27.8,29.5,28.0,25.4,67.15,32.36,8.737681398252178,0.0,1,Blue,0.51,42.5,57.5
WAYNE,MI,2011,6249130.0,1803100.0,3.47,3,0.48,936918.0,54.31,40.38,0.46,5.33,54996.0,26.1,38479.0,18.7,30.4,30.85,20.0,34.2,73.31,25.82,12.93,0.03,3,Green,0.52,49.099999999999994,50.85
SAN DIEGO,CA,2010,6136828.0,3095313.0,1.98,1,0.5,1541634.0,77.2,5.58,1.34,32.03,115000.0,14.8,59759.0,15.35,19.25,31.95,33.45,23.1,53.36,44.48,10.77,0.04,1,Blue,0.5,34.6,65.4
SAN DIEGO,CA,2009,6109429.0,3037115.0,2.01,1,0.5,1505233.0,79.54,5.69,1.05,31.59,115386.0,12.5,60103.0,15.35,19.25,31.95,33.45,23.0,53.76,44.22,9.38,0.04,1,Blue,0.5,34.6,65.4
CLARK,NV,2006,6067360.0,1776774.0,3.41,3,0.51,871744.0,78.52,9.85,1.08,27.09,121192.25,10.5,53472.0,17.6,29.35,32.75,20.3,23.1,55.06,43.15,4.0,0.07,1,Blue,0.49,46.95,53.05
COOK,IL,2011,6051939.0,5219977.0,1.16,1,0.48,2692342.0,65.84,25.0,0.76,24.24,0.0,17.8,50806.0,18.05,23.85,25.5,32.6,25.2,74.55,24.18,10.44,0.0,1,Blue,0.52,41.900000000000006,58.1
HILLSBOROUGH,FL,2010,5963950.0,1229226.0,4.85,3,0.49,630142.0,76.29,17.28,0.49,24.95,0.0,16.7,46043.0,15.5,26.95,29.0,28.55,26.8,53.01,46.1,9.298865844544112,0.0,3,Green,0.51,42.45,57.55
HILLSBOROUGH,FL,2006,5948309.0,1157725.0,5.14,3,0.49,588411.0,78.56,16.28,0.47,21.0,0.0,12.8,46751.0,15.5,26.95,29.0,28.55,25.6,49.7,49.53,5.0724936472346815,0.0,3,Green,0.51,42.45,57.55
RIVERSIDE,CA,2012,5898896.0,2261967.0,2.61,2,0.5,1136267.0,80.91,7.0,1.86,46.5,58635.0,17.8,52416.0,21.95,25.55,33.45,19.05,25.5,49.71,48.06,11.53,0.03,1,Blue,0.5,47.5,52.5
ORANGE,CA,2012,5831646.0,3080419.0,1.89,1,0.49,1558783.0,74.49,2.01,1.07,33.99,82770.0,13.0,71866.0,17.9,17.4,29.75,34.95,19.8,45.65,51.87,7.87,0.03,2,Yellow,0.51,35.3,64.7
ORANGE,CA,2011,5755138.0,3050867.0,1.89,1,0.49,1543216.0,74.85,1.99,1.07,33.86,85354.0,13.0,72046.0,17.9,17.4,29.75,34.95,20.7,46.14,51.45,9.03,0.03,2,Yellow,0.51,35.3,64.7
COOK,IL,2010,5650695.0,5194675.0,1.09,1,0.48,2680361.0,65.84,25.25,0.77,23.96,135060.0,16.8,51457.0,18.05,23.85,25.5,32.6,26.2,75.1,23.73,10.88,0.03,1,Blue,0.52,41.900000000000006,58.1
WAYNE,MI,2010,5629370.0,1820584.0,3.09,2,0.48,946423.0,54.06,40.79,0.45,5.23,61295.0,23.9,39421.0,18.7,30.4,30.85,20.0,34.3,73.59,25.44,15.47,0.03,3,Green,0.52,49.099999999999994,50.85
SAN DIEGO,CA,2008,5500805.0,3003793.0,1.83,1,0.5,1489908.0,79.68,5.69,1.03,31.08,107698.75,12.6,62820.0,15.35,19.25,31.95,33.45,21.7,54.15,43.95,6.02,0.04,1,Blue,0.5,34.6,65.4
BROWARD,FL,2008,5460426.0,1752910.0,3.12,2,0.49,892012.0,69.22,25.48,0.39,23.46,0.0,12.0,51594.0,14.7,27.8,29.5,28.0,22.2,67.13,32.39,5.911735029940126,0.0,1,Blue,0.51,42.5,57.5
DALLAS,TX,2011,5431762.0,2408170.0,2.26,2,0.49,1218426.0,68.91,22.87,1.14,38.69,104348.0,20.0,47335.0,23.35,22.1,26.0,28.55,29.2,57.15,41.74,8.13,0.04,3,Green,0.51,45.45,54.55
HILLSBOROUGH,FL,2009,5335630.0,1194796.0,4.47,3,0.49,606161.0,77.6,16.85,0.49,22.47,0.0,15.2,47129.0,15.5,26.95,29.0,28.55,26.2,53.09,46.07,8.737681398252178,0.0,3,Green,0.51,42.45,57.55
SAN BERNARDINO,CA,2012,5225860.0,2074195.0,2.52,2,0.5,1042182.0,77.72,9.61,2.01,50.55,79187.0,20.4,50603.0,23.3,25.6,33.25,17.85,28.7,52.47,45.12,11.4,0.04,1,Blue,0.5,48.900000000000006,51.1
RIVERSIDE,CA,2011,5225522.0,2234301.0,2.34,2,0.5,1122647.0,81.05,6.97,1.84,46.06,58807.0,16.9,52491.0,21.95,25.55,33.45,19.05,25.9,49.84,48.02,13.15,0.03,1,Blue,0.5,47.5,52.5
TARRANT,TX,2011,5220616.0,1847736.0,2.83,2,0.49,942364.0,76.45,15.44,0.89,27.06,78596.0,16.8,52882.0,16.65,23.65,30.85,28.85,28.6,42.0,56.7,7.54,0.04,1,Blue,0.51,40.3,59.7
WAYNE,MI,2009,5179080.0,1924438.0,2.69,2,0.48,994165.0,55.92,39.38,0.39,4.95,63228.0,24.2,38256.0,18.7,30.4,30.85,20.0,34.2,73.87,25.05,15.7,0.03,3,Green,0.52,49.099999999999994,50.85
DALLAS,TX,2012,5073306.0,2455921.0,2.07,1,0.49,1243644.0,68.59,22.94,1.12,38.85,99562.0,19.3,47343.0,23.35,22.1,26.0,28.55,28.0,57.11,41.66,7.26,0.04,3,Green,0.51,45.45,54.55
TARRANT,TX,2012,5069662.0,1882350.0,2.69,2,0.49,960447.0,76.12,15.59,0.89,27.35,74435.0,15.5,56030.0,16.65,23.65,30.85,28.85,28.1,41.43,57.12,6.64,0.04,1,Blue,0.51,40.3,59.7
ALAMEDA,CA,2011,5001931.4,1530998.0,3.27,2,0.49,780850.0,52.5,12.97,1.17,22.54,46464.0,13.2,67295.0,15.05,18.45,26.65,39.8,20.5,78.83,18.43,10.05,0.03,2,Yellow,0.51,33.5,66.44999999999999
COOK,IL,2009,4959568.0,5284796.0,0.94,1,0.49,2707119.0,67.27,25.1,0.38,23.15,145409.0,16.0,52516.0,18.05,23.85,25.5,32.6,26.2,75.66,23.27,10.55,0.03,1,Blue,0.51,41.900000000000006,58.1
SAN BERNARDINO,CA,2011,4939755.0,2061040.0,2.4,2,0.5,1036679.0,77.75,9.65,2.02,49.97,80723.0,19.4,51017.0,23.3,25.6,33.25,17.85,27.7,52.37,45.28,12.84,0.04,1,Blue,0.5,48.900000000000006,51.1
RIVERSIDE,CA,2010,4936236.0,2189641.0,2.25,1,0.5,1100065.0,81.23,6.98,1.84,45.45,60141.0,16.4,53981.0,21.95,25.55,33.45,19.05,27.0,49.96,47.98,13.85,0.03,1,Blue,0.5,47.5,52.5
DALLAS,TX,2010,4935048.0,2368139.0,2.08,1,0.49,1197137.0,69.16,22.81,1.16,38.26,112010.0,19.0,46909.0,23.35,22.1,26.0,28.55,30.3,57.2,41.82,8.59,0.05,3,Green,0.51,45.45,54.55
PHILADELPHIA,PA,2011,4892470.0,1540322.0,3.18,2,0.47,813264.0,45.37,44.71,0.8,12.74,82930.0,27.9,34433.0,22.75,33.55,21.2,22.5,30.0,84.74,14.57,10.68,0.05,0,Red,0.53,56.3,43.7
ORANGE,CA,2010,4856028.0,3010232.0,1.61,1,0.49,1521452.0,75.3,1.97,1.08,33.65,94081.0,12.2,70727.0,17.9,17.4,29.75,34.95,20.4,46.64,51.03,9.74,0.03,2,Yellow,0.51,35.3,64.7
ALAMEDA,CA,2012,4820965.0,1554138.0,3.1,2,0.49,793228.0,52.22,12.74,1.14,22.54,43270.0,13.1,70209.0,15.05,18.45,26.65,39.8,20.0,78.85,18.16,8.63,0.03,2,Yellow,0.51,33.5,66.44999999999999
SAN DIEGO,CA,2007,4773690.0,2960625.0,1.61,1,0.5,1471436.0,79.83,5.69,1.03,30.59,107698.75,11.1,61724.0,15.35,19.25,31.95,33.45,22.2,52.22,46.11,4.55,0.04,1,Blue,0.5,34.6,65.4
ALAMEDA,CA,2010,4772150.0,1510271.0,3.16,2,0.49,769698.0,52.94,13.2,1.17,22.51,52783.0,13.5,66937.0,15.05,18.45,26.65,39.8,20.7,78.81,18.7,10.9,0.03,2,Yellow,0.51,33.5,66.44999999999999
ORANGE,CA,2009,4770640.0,3023265.0,1.58,1,0.5,1512048.0,77.59,2.18,0.9,33.22,94727.0,10.7,71735.0,17.9,17.4,29.75,34.95,20.6,47.14,50.61,8.65,0.03,2,Yellow,0.5,35.3,64.7
WAYNE,MI,2008,4695035.0,1948984.0,2.41,2,0.48,1007572.0,55.54,39.83,0.39,4.82,58531.5,20.5,42463.0,18.7,30.4,30.85,20.0,33.7,74.14,24.66,9.43,0.03,3,Green,0.52,49.099999999999994,50.85
PHILADELPHIA,PA,2012,4682120.0,1551797.0,3.02,2,0.47,818886.0,45.22,44.66,0.81,13.1,87646.0,26.7,35518.0,22.75,33.55,21.2,22.5,29.2,85.29,13.97,10.89,0.06,0,Red,0.53,56.3,43.7
PALM BEACH,FL,2010,4653478.0,1320134.0,3.53,3,0.48,681246.0,77.63,17.72,0.65,19.0,0.0,14.3,49891.0,14.15,25.9,28.65,31.25,22.4,59.7,39.73,9.298865844544112,0.0,1,Blue,0.52,40.05,59.9
BROWARD,FL,2007,4648868.0,1746134.0,2.66,2,0.49,890043.0,69.7,25.13,0.38,22.84,0.0,11.4,52504.0,14.7,27.8,29.5,28.0,20.6,66.4,32.95,4.952953714072414,0.0,1,Blue,0.51,42.5,57.5
PALM BEACH,FL,2009,4634610.0,1278210.0,3.63,3,0.49,653662.0,78.38,17.29,0.45,17.84,0.0,14.4,49660.0,14.15,25.9,28.65,31.25,21.7,60.44,39.01,8.737681398252178,0.0,1,Blue,0.51,40.05,59.9
HILLSBOROUGH,FL,2011,4588606.0,1271110.0,3.61,3,0.49,648866.0,75.87,17.51,0.52,25.27,0.0,17.6,46592.0,15.5,26.95,29.0,28.55,26.1,52.93,46.12,8.610905864774008,0.0,3,Green,0.51,42.45,57.55
HILLSBOROUGH,FL,2008,4587348.0,1179411.0,3.89,3,0.49,598874.0,77.94,16.63,0.48,22.08,0.0,13.9,49762.0,15.5,26.95,29.0,28.55,26.1,53.18,46.05,5.911735029940126,0.0,1,Blue,0.51,42.45,57.55
BROWARD,FL,2011,4568525.0,1786955.0,2.56,2,0.49,919669.0,66.22,27.93,0.36,25.85,0.0,14.9,48478.0,14.7,27.8,29.5,28.0,24.7,67.18,32.3,8.610905864774008,0.0,1,Blue,0.51,42.5,57.5
TARRANT,TX,2010,4567450.0,1809034.0,2.52,2,0.49,921799.0,76.78,15.26,0.91,26.7,87299.0,14.4,52482.0,16.65,23.65,30.85,28.85,27.9,42.58,56.27,8.13,0.05,1,Blue,0.51,40.3,59.7
COOK,IL,2006,4560410.0,5235914.0,0.87,1,0.49,2686824.0,66.89,25.9,0.37,22.2,99313.0,15.4,50682.0,18.05,23.85,25.5,32.6,23.1,73.23,25.98,4.87,0.02,1,Blue,0.51,41.900000000000006,58.1
ORANGE,CA,2008,4560149.0,2988541.0,1.53,1,0.5,1495928.0,77.87,2.14,0.88,32.72,89233.0,9.9,74862.0,17.9,17.4,29.75,34.95,18.8,47.63,50.19,5.31,0.03,2,Yellow,0.5,35.3,64.7
COOK,IL,2008,4553870.0,5255543.0,0.87,1,0.49,2693480.0,67.13,25.37,0.37,22.82,99313.0,14.8,54559.0,18.05,23.85,25.5,32.6,25.2,76.21,22.82,6.43,0.02,1,Blue,0.51,41.900000000000006,58.1
RIVERSIDE,CA,2009,4549864.0,2121839.0,2.14,1,0.5,1055265.0,83.5,6.6,1.39,44.96,67300.0,13.9,55151.0,21.95,25.55,33.45,19.05,27.6,50.09,47.94,13.11,0.03,1,Blue,0.5,47.5,52.5
SUFFOLK,NY,2011,4537970.0,1498838.0,3.03,2,0.49,761112.0,86.06,8.03,0.56,17.05,37049.0,6.9,83360.0,11.85,29.85,27.1,31.25,22.3,49.92,42.76,7.61,0.02,2,Yellow,0.51,41.7,58.35
SUFFOLK,NY,2010,4489620.0,1493350.0,3.01,2,0.49,758682.0,86.27,7.97,0.54,16.49,36669.0,6.6,81235.0,11.85,29.85,27.1,31.25,24.7,50.8,44.03,7.73,0.02,2,Yellow,0.51,41.7,58.35
HILLSBOROUGH,FL,2007,4487898.0,1169019.0,3.84,3,0.49,593884.0,78.25,16.46,0.48,21.59,0.0,11.6,50485.0,15.5,26.95,29.0,28.55,25.2,51.44,47.79,4.952953714072414,0.0,1,Blue,0.51,42.45,57.55
DALLAS,TX,2009,4448158.0,2454898.0,1.81,1,0.5,1221568.0,72.35,20.82,0.69,38.01,120478.0,18.7,46044.0,23.35,22.1,26.0,28.55,30.7,57.24,41.9,6.725999999999999,0.05,3,Green,0.5,45.45,54.55
FRANKLIN,OH,2009,4409842.0,1149657.0,3.84,3,0.49,588538.0,73.79,20.18,0.27,4.15,30038.0,18.4,47460.0,11.85,26.05,26.85,35.25,30.9,59.96,38.7,8.48,0.03,3,Green,0.51,37.9,62.1
SAN DIEGO,CA,2006,4359527.0,2933959.0,1.49,1,0.5,1457783.0,79.94,5.74,1.03,30.08,107698.75,11.7,59279.0,15.35,19.25,31.95,33.45,20.6,50.3,48.27,3.96,0.04,1,Blue,0.5,34.6,65.4
FRANKLIN,OH,2011,4343846.0,1180741.0,3.68,3,0.49,606132.0,70.85,21.83,0.32,4.86,28424.0,18.8,47174.0,11.85,26.05,26.85,35.25,29.5,60.43,38.12,7.75,0.02,3,Green,0.51,37.9,62.1
COOK,IL,2007,4342969.0,5234780.0,0.83,1,0.49,2685256.0,66.99,25.65,0.37,22.48,99313.0,14.6,52554.0,18.05,23.85,25.5,32.6,23.5,74.72,24.4,5.25,0.02,1,Blue,0.51,41.900000000000006,58.1
KING,WA,2011,4302704.0,1974084.0,2.18,1,0.5,991648.0,71.66,6.52,1.05,9.01,75029.0,12.1,68596.0,8.5,17.35,28.95,45.15,22.2,69.38,28.43,7.92,0.04,2,Yellow,0.5,25.85,74.1
PHILADELPHIA,PA,2010,4294422.0,1526006.0,2.81,2,0.47,806193.0,45.67,44.7,0.79,12.29,90748.0,26.4,34667.0,22.75,33.55,21.2,22.5,30.6,84.19,15.16,10.58,0.06,0,Red,0.53,56.3,43.7
FRANKLIN,OH,2010,4272180.0,1163414.0,3.67,3,0.49,596915.0,71.33,21.58,0.33,4.79,27512.0,18.8,47621.0,11.85,26.05,26.85,35.25,30.3,60.19,38.41,8.88,0.02,3,Green,0.51,37.9,62.1
ORANGE,CA,2007,4227175.0,2957307.0,1.43,1,0.5,1481598.0,78.17,2.1,0.88,32.21,89233.0,8.9,73107.0,17.9,17.4,29.75,34.95,18.5,45.49,52.59,3.89,0.03,2,Yellow,0.5,35.3,64.7
SUFFOLK,NY,2009,4202180.0,1516784.0,2.77,2,0.49,769703.0,86.72,8.11,0.37,14.01,36941.0,5.7,82984.0,11.85,29.85,27.1,31.25,25.6,51.68,45.29,7.28,0.02,2,Yellow,0.51,41.7,58.35
SACRAMENTO,CA,2012,4184845.0,1445078.0,2.9,2,0.49,738109.0,65.26,10.92,1.56,22.01,42701.0,19.5,52617.0,14.85,22.7,35.1,27.35,26.6,58.15,39.19,10.33,0.03,1,Blue,0.51,37.55,62.45
SAN BERNARDINO,CA,2010,4147414.0,2035210.0,2.04,1,0.5,1023703.0,77.91,9.67,2.01,49.19,87579.0,18.1,52270.0,23.3,25.6,33.25,17.85,28.2,52.27,45.44,13.54,0.04,1,Blue,0.5,48.900000000000006,51.1
KING,WA,2012,4131760.0,2011323.0,2.05,1,0.5,1009982.0,71.11,6.61,1.05,9.1,57787.0,11.9,68944.0,8.5,17.35,28.95,45.15,22.3,69.07,28.51,6.32,0.03,2,Yellow,0.5,25.85,74.1
KING,WA,2010,4118160.0,1931249.0,2.13,1,0.5,969159.0,72.33,6.43,1.05,8.93,73165.0,12.2,66147.0,8.5,17.35,28.95,45.15,22.5,69.69,28.34,9.02,0.04,2,Yellow,0.5,25.85,74.1
SAN BERNARDINO,CA,2009,4110846.0,2011728.0,2.04,1,0.5,996202.0,80.35,9.0,1.44,47.9,92672.0,17.0,52137.0,23.3,25.6,33.25,17.85,28.1,52.17,45.59,12.65,0.05,1,Blue,0.5,48.900000000000006,51.1
WAYNE,MI,2007,4102230.0,1981433.0,2.07,1,0.48,1024900.0,55.17,40.3,0.39,4.7,58531.5,20.8,42529.0,18.7,30.4,30.85,20.0,33.2,72.95,25.95,8.24,0.03,3,Green,0.52,49.099999999999994,50.85
FRANKLIN,OH,2008,4097640.0,1135715.0,3.61,3,0.49,581579.0,73.93,20.1,0.28,3.93,28702.5,15.1,51246.0,11.85,26.05,26.85,35.25,30.9,59.73,38.99,5.51,0.03,1,Blue,0.51,37.9,62.1
TARRANT,TX,2008,4080406.0,1752262.0,2.33,2,0.5,884682.0,79.17,14.11,0.71,25.6,82738.75,12.1,56265.0,16.65,23.65,30.85,28.85,26.8,43.73,55.43,6.252000000000001,0.05,1,Blue,0.5,40.3,59.7
DALLAS,TX,2008,4079070.0,2412994.0,1.69,1,0.5,1201414.0,72.41,20.87,0.67,37.32,109099.5,17.3,47155.0,23.35,22.1,26.0,28.55,28.3,57.28,41.98,6.725999999999999,0.05,3,Green,0.5,45.45,54.55
PINELLAS,FL,2011,4022264.0,918380.0,4.38,3,0.48,477355.0,83.84,10.71,0.37,8.26,0.0,15.0,42761.0,12.65,29.1,31.75,26.5,24.0,52.58,46.28,8.610905864774008,0.0,3,Green,0.52,41.75,58.25
KING,WA,2009,4021210.0,1922645.0,2.09,1,0.5,960328.0,74.58,6.15,1.09,7.95,79704.0,9.8,67706.0,8.5,17.35,28.95,45.15,22.4,69.99,28.26,8.04,0.04,2,Yellow,0.5,25.85,74.1
